building_id,ward_code,name,usage_code,usage_class,storeys_above,storeys_below,height_m,year_built,total_floor_area_m2,footprint_area_m2,inland_depth_min_m,inland_depth_max_m,river_depth_min_m,river_depth_max_m,river_duration_h,surge_depth_min_m,surge_depth_max_m,flood_history_flag,flood_history_years,ground_elev_m,road_elev_m,rel_elev_m,depression_flag,landform_class,station_ridership,is_station_facility,hospital_flag,welfare_flag,public_flag,alt_facility_dist_m,data_versions,hazard_source_year
bldg_sample_001,13110,架空:目黒プラザ,402,commercial_large,3,1,18.0,1998,12000,3200,0.5,1.0,,,,,,true,"2014,2023",32.1,32.2,-0.1,false,谷底低地,,,,,,1500,sample_v0.1.0,2024
bldg_sample_002,13112,架空:せたがや中央病院,201,hospital,4,0,20.0,1990,2500,900,0,0,0,0,,,,false,,40.0,39.9,0.1,false,,,,true,,,,sample_v0.1.0,2024
bldg_sample_003,13110,架空:個人住宅A,001,residential,2,0,,,120,,0.3,0.5,,,,,,,,,,,,,,,,,,,sample_v0.1.0,2024
bldg_sample_004,13110,架空:雑用途小規模棟,999,other,1,0,,,800,,,,,,,,,,,,,,,,,,,,,,sample_v0.1.0,2024
bldg_sample_005,13110,架空:複合用途棟,999,other,5,1,,,4200,,0.2,0.5,,,,,,,,,,,,,,,,,,,sample_v0.1.0,2018
bldg_sample_006,13113,架空:大田オフィスB,501,office,8,1,,,6000,,,,,,,,,,,,,,,,,,,,,,sample_v0.1.0,
bldg_sample_007,13113,架空:大田商店街C,403,commercial,3,0,,,1800,,,,,,,,,true,2019,,,,,,,,,,,,sample_v0.1.0,
bldg_sample_008,13110,架空:自由が丘駅ビル,701,station,4,,,,9000,,,,1.0,1.5,6,,,,,30.0,30.3,-0.3,true,旧河道,85000,true,,,,,sample_v0.1.0,2023
bldg_sample_009,13112,架空:等々力駅舎,701,station,2,0,,,1200,,0.1,0.3,,,,,,,,,,,,,8000,true,,,,,sample_v0.1.0,2024
bldg_sample_010,13113,架空:大田データセンター,601,datacenter,3,2,,,15000,,,,3.0,5.0,72,,,true,2019,2.0,2.4,-0.4,true,後背湿地,,,,,,5000,sample_v0.1.0,2023
bldg_sample_011,13110,架空:目黒区防災センター,801,public_critical,6,1,,,8000,,1.0,2.0,,,,,,,,28.0,28.5,-0.5,false,,,,,,true,,sample_v0.1.0,2024
bldg_sample_012,13112,架空:せたがや特別養護老人ホーム,204,welfare,3,0,,,3500,,0.5,1.0,,,,,,,,,,,,,,,,true,,,sample_v0.1.0,2024
bldg_sample_013,13113,架空:大田物流センター大,502,logistics,2,0,,,15000,,0.5,1.0,,,,,,,,,,,,,,,,,,,sample_v0.1.0,2024
bldg_sample_014,13113,架空:大田物流センター小,502,logistics,1,0,,,4000,,0.5,1.0,,,,,,,,,,,,,,,,,,,sample_v0.1.0,2024
bldg_sample_015,13110,架空:目黒第三小学校,301,school,3,0,,,5000,,0.1,0.3,,,,,,,,,,,,,,,,,,,sample_v0.1.0,2024
bldg_sample_016,13112,架空:せたがやタワーレジデンス,101,residential_large,14,1,,,18000,,0.3,0.5,,,,,,,,,,,,,,,,,,,sample_v0.1.0,2024
bldg_sample_017,13113,架空:大田オフィスD,501,office,,1,,,,,0.5,3.0,,,,,,,,,,,,,,,,,,,sample_v0.1.0,2005
bldg_sample_018,13110,架空:自由が丘商店D,403,commercial,2,0,,,1200,,0.1,0.3,,,,,,,,,,,,,,,,,,,sample_v0.1.0,2024
bldg_sample_019,13110,架空:目黒モール（地下階不明）,402,commercial_large,4,,,,11000,,0.6,1.0,,,,,,,,,,,,,,,,,,,sample_v0.1.0,2024
bldg_sample_020,13113,架空:大田臨海倉庫,502,logistics,1,0,,,8000,,,,,,,1.0,2.0,,,,,,,,,,,,,,sample_v0.1.0,2020
